name,"April 1, 2022","April 11, 2022","April 26, 2022","May 6, 2022","June 5, 2022","June 10, 2022","June 15, 2022",product
bl4,0.999178728,0.939766159,1.000128865,1.000113259,0.213862398,0.065914839,0.002804776,planet
aspen,0.991061686,0.493863169,0.896042992,0.919304372,0.530654442,1.20E-05,0,planet
tunnel,0.993152147,0.177870143,0.86487305,0.818323821,0.114343764,4.43E-05,0,planet
michiganditch,0.993853139,0.962938419,0.992392429,0.99575595,0.765459165,0.616309392,0.015463662,planet
montgomery,0.9988669,0.965599567,0.999569699,0.99889259,0.608467569,0.517214659,0.045055811,planet
mtc,0.969711297,0.804352457,0.820950945,NA,0.732613699,0.534586484,0.190976024,planet
bl4,1.000642996,1.000561738,1.000817639,1.000642996,0.166238395,0.018574261,0.003267581,sentinel2
aspen,0.994869854,0.908673451,0.943494091,0.854853231,0,0,0,sentinel2
tunnel,0.977448287,0.838543821,0.836254316,0.774635073,0.024291174,0,0,sentinel2
michiganditch,0.9801495,0.928081888,NA,0.999933713,0.606185378,0.247813131,0.024597693,sentinel2
montgomery,0.99559895,0.98978348,NA,1.000004479,0.550810894,0.239808167,0.035822464,sentinel2
mtc,0.975517927,0.83160021,0.952563722,0.990954857,0.641917033,0.241903651,0.120424551,sentinel2
